,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
322,NG,Ogaminana,1651939444,90.07,76,53,7.5946,6.2248,8.5
323,ID,Kupang,1651939271,80.28,20,79,-10.1667,123.5833,13.87
324,TW,Kaohsiung City,1651939211,81.03,75,87,22.6163,120.3133,3.44
325,AU,Flinders,1651939445,58.17,0,58,-34.5833,150.8552,11.01
326,US,Craig,1651939446,67.39,94,30,40.5153,-107.5464,11.5
327,US,Ridgecrest,1651939163,74.64,64,35,35.6225,-117.6709,23.0
328,PE,Hualmay,1651939447,69.66,12,75,-11.0964,-77.6139,10.92
329,RU,Okhotsk,1651939394,32.31,11,75,59.3833,143.3,7.63
330,AO,Menongue,1651939235,73.45,42,47,-14.6585,17.691,2.73
331,MW,Ntcheu,1651939448,66.29,77,70,-14.8203,34.6359,1.72
332,GH,Esim,1651939448,84.56,79,69,4.8699,-2.2405,9.19
333,BJ,Djougou,1651939449,92.66,98,33,9.7085,1.666,6.26
334,KZ,Zhezkazgan,1651939428,55.69,8,34,47.8043,67.7144,19.93
335,RU,Khovu-Aksy,1651939450,53.87,31,39,51.1333,93.6,6.13
336,NO,Berlevåg,1651939377,40.8,9,79,70.8578,29.0864,26.26
337,RU,Sharan,1651939451,49.39,50,55,54.8167,54.0,1.3
338,SA,Abhā,1651939451,68.25,40,64,18.2164,42.5053,6.91
339,RU,Tazovsky,1651939452,6.33,15,96,67.4667,78.7,9.78
340,RU,Filimonovo,1651939452,44.55,100,34,56.2011,95.4611,20.13
341,CA,Havre-St-Pierre,1651939453,38.8,0,46,50.2334,-63.5986,7.83
342,GT,Los Amates,1651939453,90.32,69,59,15.2667,-89.1,2.24
343,NZ,Dunedin,1651939308,61.81,100,57,-45.8742,170.5036,5.73
344,GB,Fairlie,1651939454,59.22,43,71,55.756,-4.8556,2.33
345,OM,Salalah,1651939359,81.84,0,78,17.0151,54.0924,7.02
346,TH,Kumphawapi,1651939455,83.82,100,99,17.1087,103.0149,6.11
347,NO,Båtsfjord,1651939455,40.78,9,70,70.6345,29.7185,23.02
348,RU,Beringovskiy,1651939441,23.86,100,92,63.05,179.3167,5.93
349,SB,Buala,1651939456,80.15,100,85,-8.145,159.5921,7.45
350,CA,Saint-Augustin,1651939325,39.51,99,48,51.226,-58.6502,16.98
351,SO,Kismayo,1651939457,81.07,99,82,-0.3582,42.5454,13.29
352,RU,Aykhal,1651939263,31.46,100,99,66.0,111.5,6.06
353,JP,Fukuechō,1651939365,65.43,100,87,32.6881,128.8419,14.76
354,BR,Itarema,1651939244,84.83,91,68,-2.9248,-39.9167,12.37
